Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Bdd,,MID,40,85%,7.2,3.4,1.5,7,8.8,417,68.1%,26.3,570,1.09,0.44,0.18,0.21,60,1,-87,27.5%,7.5%,0,5
Bulldog,,MID,38,26.3%,2,2,2.8,3.7,9.3,397,66.8%,29.1,598,1.19,0.46,0.24,0.24,-87,-4,-109,13.2%,10.5%,0,4
Chovy,,MID,39,82.1%,7,2.7,1.4,6.8,9.5,431,70.7%,27,611,1.46,0.41,0.42,0.17,369,9,233,23.1%,5.1%,0,9
Clozer,,MID,40,32.5%,2.9,3.2,2.7,4.7,9.7,420,67%,29.7,587,1.13,0.38,0.29,0.21,129,6,163,25%,7.5%,0,4
FATE,,MID,34,44.1%,4.1,2.7,1.8,4.6,9.1,406,64.7%,29.4,585,1.23,0.42,0.27,0.2,-61,0,-41,8.8%,0%,0,3
FIESTA,,MID,31,32.3%,2.7,2.7,2.8,4.9,8.3,387,67.2%,28.6,582,1.2,0.49,0.26,0.28,-13,-3,39,25.8%,6.5%,0,5
Faker,,MID,24,70.8%,3.4,2.7,2.4,5.5,8.8,420,63.3%,25.5,592,1.12,0.43,0.24,0.16,55,3,19,12.5%,16.7%,0,6
Feisty,,MID,1,100%,9.5,6,2,13,9.2,493,82.6%,32.1,781,1.14,0.53,0.14,0.33,880,15,1059,0%,0%,0,-
Ivory,,MID,10,30%,1.4,1.2,2.9,3,9,368,53.6%,25.1,468,1.15,0.52,0.21,0.22,-645,-15,-406,10%,0%,0,1
Karis,,MID,35,34.3%,3.5,2.3,1.8,4,9.2,398,69.8%,27.1,498,1.13,0.32,0.29,0.2,-155,-3,-53,22.9%,11.4%,0,3
Kyeahoo,,MID,9,11.1%,1.6,1.7,2.7,2.6,7.5,325,56.5%,19.3,382,1.22,0.56,0.21,0.25,-795,-8,-125,0%,22.2%,0,1
Poby,,MID,18,22.2%,1.6,1.8,3.2,3.3,9,390,64.5%,24.4,479,1.1,0.42,0.27,0.24,-193,-7,-144,16.7%,0%,0,1
Quad,,MID,12,25%,1.6,1.1,2.3,2.6,8,348,58.7%,23.2,385,1.19,0.53,0.21,0.27,-427,-13,-464,16.7%,16.7%,0,4
ShowMaker,,MID,40,60%,4.8,3.5,1.8,5.2,8.9,416,62.3%,26.1,613,1.27,0.41,0.31,0.23,22,1,35,15%,7.5%,1,4
Zeka,,MID,41,65.9%,5.2,3.9,1.8,5.3,9.4,436,67.5%,26.5,580,1.27,0.49,0.25,0.25,209,2,113,24.4%,7.3%,0,10
